ingredient,risk,function,side_effects
peltophorum dasyrhachis bark powder,Safe,General,No known major side effects
pelvetia canaliculata extract,Safe,Natural/conditioning,Generally safe
pelvetia siliquosa extract,Safe,Natural/conditioning,Generally safe
penicillus dumetosus callus culture extract,Safe,Natural/conditioning,Generally safe
pentaclethra macroloba seed oil,Safe,Natural/conditioning,Generally safe
pentaclethra macroloba seed oil octyldodecyl esters,Safe,Natural/conditioning,Generally safe
pentaclethra macrophylla seed oil,Safe,Natural/conditioning,Generally safe
pentaclethramidopropyl dimethylamine,Safe,General,No known major side effects
pentadecane,Safe,General,No known major side effects
pentadecyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
pentadesma butyracea seed butter,Safe,Natural/conditioning,Generally safe
pentadiplandra brazzeana root extract,Safe,Natural/conditioning,Generally safe
pentadoxynol-200,Safe,General,No known major side effects
pentaerythritol,Safe,General,No known major side effects
pentaerythritol/terephthalic acid copolymer,Moderate,Solvent/active,Possible irritation or dryness
pentaerythrityl behenate/polyhydroxystearate,Safe,General,No known major side effects
pentaerythrityl cocoate,Safe,General,No known major side effects
pentaerythrityl cyclohexane dicarboxylate,Safe,General,No known major side effects
pentaerythrityl dioleate,Safe,General,No known major side effects
pentaerythrityl rosinates,Safe,General,No known major side effects
pentaerythrityl stearate,Safe,General,No known major side effects
pentaerythrityl stearates,Safe,General,No known major side effects
pentaerythrityl tetra(hydroxypropyl bis-hydroxyethylamine),Safe,General,No known major side effects
pentaerythrityl tetraabietate,Safe,General,No known major side effects
pentaerythrityl tetraacetate,Safe,General,No known major side effects
pentaerythrityl tetraacrylate,Safe,General,No known major side effects
pentaerythrityl tetrabenzoate,Safe,General,No known major side effects
pentaerythrityl tetra c5-10 acid esters,Moderate,Solvent/active,Possible irritation or dryness
pentaerythrityl tetra c5-9 acid esters,Moderate,Solvent/active,Possible irritation or dryness
pentaerythrityl tetracocoate,Safe,General,No known major side effects
pentaerythrityl tetraethylhexanoate/benzoate,Safe,General,No known major side effects
pentaerythrityl tetraisononanoate,Safe,General,No known major side effects
pentaerythrityl tetralaurate,Safe,General,No known major side effects
pentaerythrityl tetramercaptobutyrate,Safe,General,No known major side effects
pentaerythrityl tetramercaptopropionate,Safe,General,No known major side effects
pentaerythrityl tetramyristate,Safe,General,No known major side effects
pentaerythrityl tetraoleate,Safe,General,No known major side effects
pentaerythrityl tetrapelargonate,Safe,General,No known major side effects
pentaerythrityl tetraundecylenate,Safe,General,No known major side effects
pentaerythrityl triacrylate,Safe,General,No known major side effects
pentaerythrityl trioleate,Safe,General,No known major side effects
pentahydrosqualene,Safe,General,No known major side effects
pentaisostearoyl 3-glyceryl ascorbate,Safe,General,No known major side effects
pentamethyl-2-heptanol,Safe,General,No known major side effects
pentamethylcyclohexanepropanol,Safe,General,No known major side effects
pentamethyl-cyclopent-1-enyl methyl ketone,Safe,General,No known major side effects
pentamethylcyclopent-3-ene-butanol,Safe,General,No known major side effects
pentamethylheptenone,Safe,General,No known major side effects
pentamethyl octahydroindenodioxane,Safe,General,No known major side effects
pentamethyl piperidinyl sesquisebacate,Safe,General,No known major side effects
pentamethyl-spirobicycloheptane-dioxane,Safe,General,No known major side effects
pentane,Safe,General,No known major side effects
pentanedione,Safe,General,No known major side effects
pentanone,Safe,General,No known major side effects
pentapeptide-10,Safe,General,No known major side effects
pentapeptide-11,Safe,General,No known major side effects
pentapeptide-12,Safe,General,No known major side effects
pentapeptide-13,Safe,General,No known major side effects
pentapeptide-14,Safe,General,No known major side effects
pentapeptide-15,Safe,General,No known major side effects
pentapeptide-16,Safe,General,No known major side effects
pentapeptide-17,Safe,General,No known major side effects
pentapeptide-2,Safe,General,No known major side effects
pentapeptide-20,Safe,General,No known major side effects
pentapeptide-22,Safe,General,No known major side effects
pentapeptide-23,Safe,General,No known major side effects
pentapeptide-24,Safe,General,No known major side effects
pentapeptide-25,Safe,General,No known major side effects
pentapeptide-26,Safe,General,No known major side effects
pentapeptide-27,Safe,General,No known major side effects
pentapeptide-28,Safe,General,No known major side effects
pentapeptide-29,Safe,General,No known major side effects
pentapeptide-3,Safe,General,No known major side effects
pentapeptide-30,Safe,General,No known major side effects
pentapeptide-31,Safe,General,No known major side effects
pentapeptide-33,Safe,General,No known major side effects
pentapeptide-34,Safe,General,No known major side effects
pentapeptide-34 trifluoroacetate,Safe,General,No known major side effects
pentapeptide-35,Safe,General,No known major side effects
pentapeptide-36,Safe,General,No known major side effects
pentapeptide-37,Safe,General,No known major side effects
pentapeptide-38,Safe,General,No known major side effects
pentapeptide-39,Safe,General,No known major side effects
pentapeptide-41,Safe,General,No known major side effects
pentapeptide-42,Safe,General,No known major side effects
pentapeptide-43,Safe,General,No known major side effects
pentapeptide-44,Safe,General,No known major side effects
pentapeptide-45,Safe,General,No known major side effects
pentapeptide-46,Safe,General,No known major side effects
pentapeptide-47,Safe,General,No known major side effects
pentapeptide-48,Safe,General,No known major side effects
pentapeptide-49,Safe,General,No known major side effects
pentapeptide-5,Safe,General,No known major side effects
pentapeptide-50,Safe,General,No known major side effects
pentapeptide-51,Safe,General,No known major side effects
pentapeptide-52,Safe,General,No known major side effects
pentapeptide-53,Safe,General,No known major side effects
pentapeptide-54,Safe,General,No known major side effects
pentapeptide-55,Safe,General,No known major side effects
pentapeptide-56,Safe,General,No known major side effects
pentapeptide-56 dimer,Safe,General,No known major side effects
pentapeptide-57,Safe,General,No known major side effects
pentapeptide-57 dimer,Safe,General,No known major side effects
pentapeptide-58,Safe,General,No known major side effects
pentapeptide-59,Safe,General,No known major side effects
pentapeptide-6,Safe,General,No known major side effects
pentapeptide-60,Safe,General,No known major side effects
pentapeptide-60 s-methanocaldococcus jannaschii heptapeptide-1,Safe,General,No known major side effects
pentapeptide-61,Safe,General,No known major side effects
pentapeptide-62,Safe,General,No known major side effects
pentapeptide-64,Safe,General,No known major side effects
pentapeptide-65,Safe,General,No known major side effects
pentapeptide-66,Safe,General,No known major side effects
pentapeptide-69,Safe,General,No known major side effects
pentapeptide-7,Safe,General,No known major side effects
pentapeptide-72 tri-t-butyl tryptophanamide,Safe,General,No known major side effects
pentapeptide-8,Safe,General,No known major side effects
pentapeptide-9,Safe,General,No known major side effects
pentapotassium triphosphate,Safe,General,No known major side effects
pentasodium aminotrimethylene phosphonate,Safe,General,No known major side effects
pentasodium tetracarboxymethyl acetylhydroxyprolyl dipeptide-12,Safe,General,No known major side effects
pentasodium tetracarboxymethyl dipeptide-51,Safe,General,No known major side effects
pentasodium tetracarboxymethyl heptadecanoyl dipeptide-12,Safe,General,No known major side effects
pentasodium tetracarboxymethyl hexanoyl dipeptide-12,Safe,General,No known major side effects
pentasodium tetracarboxymethyl palmitoyl dipeptide-12,Safe,General,No known major side effects
penthorum chinense extract,Safe,Natural/conditioning,Generally safe
penthorum chinense seed extract,Safe,Natural/conditioning,Generally safe
pentylcyclopropylmethylene cyclopropyloctanoic acid,Moderate,Solvent/active,Possible irritation or dryness
pentyl dimethyl paba,Safe,General,No known major side effects
pentylphenyl methoxybenzoate,Safe,General,No known major side effects
pentylphenyl octyloxybenzoate,Safe,General,No known major side effects
pentylphenyl pentylbenzoate,Safe,General,No known major side effects
pentyl rhamnoside,Safe,General,No known major side effects
peoniflorin,Safe,General,No known major side effects
pepsin,Safe,General,No known major side effects
perenniporia fraxinea ferment filtrate,Safe,General,No known major side effects
perenniporia fraxinea mycelium extract,Safe,Natural/conditioning,Generally safe
perfluorobutoxydiglycol difluoroethoxy propyl trimethoxysilane,Moderate,Solvent/active,Possible irritation or dryness
perfluorobutylcyclohexane,Safe,General,No known major side effects
perfluorobutylethyl dimethicone,Safe,General,No known major side effects
perfluorocaprylyl bromide,Safe,General,No known major side effects
perfluorocaprylyl triethoxysilylethyl methicone,Safe,General,No known major side effects
perfluorocyclohexylmethanol,Safe,General,No known major side effects
perfluoroheptane,Safe,General,No known major side effects
perfluorohexylethyl dimethylbutyl ether,Safe,General,No known major side effects
perfluorohexyl ethylphosphonic acid,Moderate,Solvent/active,Possible irritation or dryness
perfluoroisohexane,Safe,General,No known major side effects
perfluoromethylcyclohexane,Safe,General,No known major side effects
perfluoromethyldecalin,Safe,General,No known major side effects
perfluorononylethyl carboxydecyl behenyl dimethicone,Safe,General,No known major side effects
perfluorononylethyl carboxydecyl hexacosyl dimethicone,Safe,General,No known major side effects
perfluorononylethyl carboxydecyl lauryl/behenyl dimethicone,Safe,General,No known major side effects
perfluorononylethyl carboxydecyl lauryl dimethicone,Safe,General,No known major side effects
perfluorononylethyl carboxydecyl peg-8 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
perfluorononylethyl carboxy peg-7 dimethicone phosphate,Moderate,Solvent/active,Possible irritation or dryness
perfluorononylethyl dimethicone/methicone copolymer,Safe,General,No known major side effects
perfluorononylethyl peg-8 dimethicone,Moderate,Solvent/active,Possible irritation or dryness
perfluorononyl octyldodecyl glycol grapeseedate,Moderate,Solvent/active,Possible irritation or dryness
perfluorononyl octyldodecyl glycol meadowfoamate,Moderate,Solvent/active,Possible irritation or dryness
perfluorooctylethyl/diphenyl dimethicone copolymer,Safe,General,No known major side effects
perfluorooctylethyl triethoxysilane,Safe,General,No known major side effects
perfluorooctylethyl trimethoxysilane,Safe,General,No known major side effects
perfluorooctylethyl trisiloxane,Safe,General,No known major side effects
perfluoroperhydrobenzyl tetralin,Safe,General,No known major side effects
perfluoroperhydrofluorene,Safe,General,No known major side effects
perfluoropropylene/vinylidene difluoride copolymer,Safe,General,No known major side effects
perfluorotetralin,Safe,General,No known major side effects
periandra dulcis root extract,Safe,Natural/conditioning,Generally safe
perichlaena richardii flower/leaf extract,Safe,Natural/conditioning,Generally safe
perichlaena richardii flower extract,Safe,Natural/conditioning,Generally safe
perichlaena richardii leaf extract,Safe,Natural/conditioning,Generally safe
perilla frutescens callus culture extract,Safe,Natural/conditioning,Generally safe
perilla frutescens extract,Safe,Natural/conditioning,Generally safe
perilla frutescens flower extract,Safe,Natural/conditioning,Generally safe
perilla frutescens flower oil,Safe,Natural/conditioning,Generally safe
perilla frutescens juice,Safe,General,No known major side effects
perilla frutescens leaf oil,Safe,Natural/conditioning,Generally safe
perilla frutescens leaf water,Safe,General,No known major side effects
perilla frutescens seed,Safe,General,No known major side effects
perilla frutescens seedcake,Safe,General,No known major side effects
perilla frutescens seed extract,Safe,Natural/conditioning,Generally safe
perilla frutescens seed oil,Safe,Natural/conditioning,Generally safe
perilla frutescens sprout extract,Safe,Natural/conditioning,Generally safe
perillaldehyde,Safe,General,No known major side effects
perilla ocymoides leaf/stem oil,Safe,Natural/conditioning,Generally safe
perilla ocymoides leaf powder,Safe,General,No known major side effects
perilla ocymoides leaf water,Safe,General,No known major side effects
perilla ocymoides seed oil,Safe,Natural/conditioning,Generally safe
perillic acid,Moderate,Solvent/active,Possible irritation or dryness
perillyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
permethrin,Safe,General,No known major side effects
persea gratissima butter,Safe,Natural/conditioning,Generally safe
persea gratissima callus powder,Safe,General,No known major side effects
persea gratissima cera,Safe,General,No known major side effects
persea gratissima fruit butter,Safe,Natural/conditioning,Generally safe
persea gratissima fruit powder,Safe,General,No known major side effects
persea gratissima fruit water,Safe,General,No known major side effects
persea gratissima leaf extract,Safe,Natural/conditioning,Generally safe
persea gratissima oil unsaponifiables water,Safe,Natural/conditioning,Generally safe
persea gratissima seed,Safe,General,No known major side effects
persea gratissima seed extract,Safe,Natural/conditioning,Generally safe
persea gratissima sterols,Safe,General,No known major side effects
persea gratissima wax,Safe,General,No known major side effects
persea japonica branch extract,Safe,Natural/conditioning,Generally safe
persicaria amphibia extract,Safe,Natural/conditioning,Generally safe
persicaria capitata extract,Safe,Natural/conditioning,Generally safe
persicaria filiformis leaf/stem extract,Safe,Natural/conditioning,Generally safe
persicaria minor leaf/stem extract,Safe,Natural/conditioning,Generally safe
persicaria senticosa leaf/stem extract,Safe,Natural/conditioning,Generally safe
persicaria thunbergii extract,Safe,Natural/conditioning,Generally safe
petasites hybridus leaf extract,Safe,Natural/conditioning,Generally safe
petasites hybridus root extract,Safe,Natural/conditioning,Generally safe
petasites japonicus juice,Safe,General,No known major side effects
petasites japonicus leaf/stem extract,Safe,Natural/conditioning,Generally safe
petasites japonicus leaf extract,Safe,Natural/conditioning,Generally safe
petasites japonicus powder,Safe,General,No known major side effects
petasites vulgaris leaf extract,Safe,Natural/conditioning,Generally safe
p-ethylphenetole,Safe,General,No known major side effects
petroleum distillates,Safe,General,No known major side effects
petroselinum crispum extract,Safe,Natural/conditioning,Generally safe
petroselinum crispum juice,Safe,General,No known major side effects
petroselinum crispum leaf extract,Safe,Natural/conditioning,Generally safe
petroselinum crispum leaf oil,Safe,Natural/conditioning,Generally safe
petroselinum crispum meristem cell,Safe,General,No known major side effects
petroselinum crispum seed extract,Safe,Natural/conditioning,Generally safe
petroselinum crispum seed oil,Safe,Natural/conditioning,Generally safe
petroselinum sativum extract,Safe,Natural/conditioning,Generally safe
petroselinum sativum leaf powder,Safe,General,No known major side effects
peucedanum japonicum branch extract,Safe,Natural/conditioning,Generally safe
peucedanum japonicum extract,Safe,Natural/conditioning,Generally safe
peucedanum japonicum leaf/stem extract,Safe,Natural/conditioning,Generally safe
peucedanum japonicum root extract,Safe,Natural/conditioning,Generally safe
peucedanum ostruthium leaf extract,Safe,Natural/conditioning,Generally safe
peumus boldus leaf oil,Safe,Natural/conditioning,Generally safe
pfaffia glomerata root juice,Safe,General,No known major side effects
pg-amodimethicone,Safe,General,No known major side effects
pg-hydrolyzed collagen,Safe,General,No known major side effects
pg-hydrolyzed keratin,Safe,General,No known major side effects
pg-hydrolyzed rice protein,Safe,General,No known major side effects
pg-hydrolyzed silk,Safe,General,No known major side effects
pg-hydrolyzed soy protein,Safe,General,No known major side effects
pg-hydrolyzed wheat protein,Safe,General,No known major side effects
pg-hydroxyethylcellulose lauryldimonium chloride,Safe,General,No known major side effects
pg-hydroxyethylcellulose stearyldimonium chloride,Safe,General,No known major side effects
pg-palmoylpalmamide,Safe,General,No known major side effects
phaeocystis antarctica extract,Safe,Natural/conditioning,Generally safe
phaeocystis pouchetii extract,Safe,Natural/conditioning,Generally safe
phaffia rhodozyma ferment extract,Safe,Natural/conditioning,Generally safe
phalaenopsis amabilis flower extract,Safe,Natural/conditioning,Generally safe
phalaenopsis aphrodite callus extract,Safe,Natural/conditioning,Generally safe
phalaenopsis charm sun big red robe flower extract,Safe,Natural/conditioning,Generally safe
phalaenopsis lobbii extract,Safe,Natural/conditioning,Generally safe
phalaenopsis pulcherrima callus powder,Safe,General,No known major side effects
phalaenopsis pulcherrima leaf cell extract,Safe,Natural/conditioning,Generally safe
phalaenopsis shiuh-dong whishkey flower extract,Safe,Natural/conditioning,Generally safe
phalaenopsis sogo yukidian flower extract,Safe,Natural/conditioning,Generally safe
phalaenopsis sogo yukidian petal extract,Safe,Natural/conditioning,Generally safe
phallus indusiatus mycelium/polygonum multiflorum root extract ferment filtrate,Safe,Natural/conditioning,Generally safe
phaseolus aconitifolius seed extract,Safe,Natural/conditioning,Generally safe
phaseolus angularis callus culture extract,Safe,Natural/conditioning,Generally safe
phaseolus angularis hairy root extract,Safe,Natural/conditioning,Generally safe
phaseolus angularis seed,Safe,General,No known major side effects
phaseolus angularis seed extract,Safe,Natural/conditioning,Generally safe
phaseolus angularis seed starch,Safe,General,No known major side effects
phaseolus coccineus seed extract,Safe,Natural/conditioning,Generally safe
phaseolus mungo root extract,Safe,Natural/conditioning,Generally safe
phaseolus radiatus meristem cell culture extract,Safe,Natural/conditioning,Generally safe
phaseolus radiatus meristem cell lysate,Safe,General,No known major side effects
phaseolus radiatus seed powder,Safe,General,No known major side effects
phaseolus radiatus seed starch,Safe,General,No known major side effects
phaseolus trilobus seed extract,Safe,Natural/conditioning,Generally safe
phaseolus vulgaris callus extract,Safe,Natural/conditioning,Generally safe
phaseolus vulgaris extract,Safe,Natural/conditioning,Generally safe
phaseolus vulgaris phytoplacenta conditioned media,Safe,General,No known major side effects
phaseolus vulgaris phytoplacenta extract,Safe,Natural/conditioning,Generally safe
phaseolus vulgaris seed extract,Safe,Natural/conditioning,Generally safe
phaseolus vulgaris sprout extract,Safe,Natural/conditioning,Generally safe
phebalium nudum flower/leaf extract,Safe,Natural/conditioning,Generally safe
phellinus baumii extract,Safe,Natural/conditioning,Generally safe
phellinus baumii mycelium/panax ginseng root ferment extract filtrate,Safe,Natural/conditioning,Generally safe
phellinus linteus/abalone ferment filtrate,Safe,General,No known major side effects
phellinus linteus/collagen ferment filtrate,Safe,General,No known major side effects
phellinus linteus/inonotus obliquus extract ferment water,Safe,Natural/conditioning,Generally safe
phellinus linteus/morus bombycis wood powder ferment extract,Safe,Natural/conditioning,Generally safe
phellinus linteus/rice ferment extract,Safe,Natural/conditioning,Generally safe
phellinus linteus/royal jelly extract,Safe,Natural/conditioning,Generally safe
phellinus linteus mycelium extract,Safe,Natural/conditioning,Generally safe
phellinus linteus water,Safe,General,No known major side effects
phellinus ribis extract,Safe,Natural/conditioning,Generally safe
phellodendron amurense bark,Safe,General,No known major side effects
phellodendron amurense bark extract,Safe,Natural/conditioning,Generally safe
phellodendron amurense leaf,Safe,General,No known major side effects
phellodendron amurense leaf water,Safe,General,No known major side effects
phellodendron chinense bark extract,Safe,Natural/conditioning,Generally safe
phenacetin,Safe,General,No known major side effects
pheneth-6 phosphate,Safe,General,No known major side effects
phenethyl 2-ethylbutyrate,Safe,General,No known major side effects
phenethyl 2-methylbutyrate,Safe,General,No known major side effects
phenethyl acetate,Safe,General,No known major side effects
phenethyl anthranilate,Safe,General,No known major side effects
phenethyl benzoate,Safe,General,No known major side effects
phenethyl butyrate,Safe,General,No known major side effects
phenethyl caffeate,Safe,General,No known major side effects
phenethyl cinnamate,Safe,General,No known major side effects
phenethyl crotonate,Safe,General,No known major side effects
phenethyl disiloxane,Safe,General,No known major side effects
phenethyl formate,Safe,General,No known major side effects
phenethyl isobutyrate,Safe,General,No known major side effects
phenethyl isothiocyanate,Safe,General,No known major side effects
phenethyl isovalerate,Safe,General,No known major side effects
phenethyl methacrylate,Safe,General,No known major side effects
phenethyl methyl ethyl carbinol,Safe,General,No known major side effects
phenethyl methyl ethyl carbinyl acetate,Safe,General,No known major side effects
phenethyl phenoxy methyldihydropyrroloquinoline hcl,Safe,General,No known major side effects
phenethyl phenylacetate,Safe,General,No known major side effects
phenethyl pivalate,Safe,General,No known major side effects
phenethyl propionate,Safe,General,No known major side effects
phenethyl salicylate,Safe,General,No known major side effects
phenethyl tiglate,Safe,General,No known major side effects
phenol,Safe,General,No known major side effects
phenolsulfonphthalein,Safe,General,No known major side effects
phenoxyacetaldehyde,Safe,General,No known major side effects
phenoxyacetic acid,Moderate,Solvent/active,Possible irritation or dryness
phenoxyethyl acrylate,Safe,General,No known major side effects
phenoxyethyl isobutyrate,Safe,General,No known major side effects
phenoxyethyl methacrylate,Safe,General,No known major side effects
phenoxyethylparaben,High,Preservative/chemical,Potential hormone disruption or toxicity
phenoxyethyl pca,Safe,General,No known major side effects
phenoxyethyl propionate,Safe,General,No known major side effects
phenoxyisopropanol,Safe,General,No known major side effects
phenoxy peg-2 acrylate,Moderate,Solvent/active,Possible irritation or dryness
phenoxy peg-4 laurate/palmitate,Moderate,Solvent/active,Possible irritation or dryness
phenoxypropanediol,Safe,General,No known major side effects
phenylacetaldehyde diethyl acetal,Safe,General,No known major side effects
phenylacetaldehyde digeranyl acetal,Safe,General,No known major side effects
phenylacetaldehyde dihydrogeranyl acetal,Safe,General,No known major side effects
phenylacetaldehyde diisoamyl acetal,Safe,General,No known major side effects
phenylacetaldehyde dimethyl acetal,Safe,General,No known major side effects
phenylacetaldehyde ethyleneglycol cyclic acetal,Moderate,Solvent/active,Possible irritation or dryness
"phenylacetaldehyde glyceryl 1,2-cyclic acetal",Safe,General,No known major side effects
"phenylacetaldehyde glyceryl 1,3-cyclic acetal",Safe,General,No known major side effects
phenylacetaldehyde glyceryl cyclic acetals,Safe,General,No known major side effects
phenylacetaldehyde hexyleneglycol cyclic acetal,Moderate,Solvent/active,Possible irritation or dryness
phenylacetaldehyde isohexyleneglycol cyclic acetal,Moderate,Solvent/active,Possible irritation or dryness
phenylacetaldehyde oxime,Safe,General,No known major side effects
phenylacetonitrile,Safe,General,No known major side effects
phenylaminopropyl polysesquioxane,Safe,General,No known major side effects
phenyl benzoate,Safe,General,No known major side effects
phenyldimethoxyacetophenone,Safe,General,No known major side effects
phenylene bis-diphenyltriazine,Safe,General,No known major side effects
phenylethoxyacetaldehyde,Safe,General,No known major side effects
phenylethylidene-bis-indole,Safe,General,No known major side effects
phenylethylpyridine,Safe,General,No known major side effects
phenyl mercuric acetate,Safe,General,No known major side effects
phenyl mercuric benzoate,Safe,General,No known major side effects
phenyl mercuric borate,Safe,General,No known major side effects
phenyl mercuric bromide,Safe,General,No known major side effects
phenyl mercuric chloride,Safe,General,No known major side effects
phenyl methiconol,Safe,General,No known major side effects
phenylmethylpentanal,Safe,General,No known major side effects
phenyl methyl pyrazolone,Safe,General,No known major side effects
phenylmethylsulfonyl fluoride,Safe,General,No known major side effects
phenylparaben,High,Preservative/chemical,Potential hormone disruption or toxicity
phenylpentanol,Safe,General,No known major side effects
phenylpropane,Safe,General,No known major side effects
phenylpropionaldehyde,Safe,General,No known major side effects
phenylpropyl ethyl methicone,Safe,General,No known major side effects
phenyl propyl trimethicone,Safe,General,No known major side effects
phenyl propyl trimethicone/diphenylmethicone,Safe,General,No known major side effects
phenyl t-butylnitrone,Safe,General,No known major side effects
phenyl thiazinane carboxylic acid,Moderate,Solvent/active,Possible irritation or dryness
phenylthiazolyl fluoroaniline,Safe,General,No known major side effects
phenylthioglycolic acid,Moderate,Solvent/active,Possible irritation or dryness
phenyl timonacic,Safe,General,No known major side effects
pheophorbide a amido peg-45 amido distearoyl glycerophosphoethane,Moderate,Solvent/active,Possible irritation or dryness
phialophora parasitica/aquilaria agallocha wood ferment powder,Safe,General,No known major side effects
philadelphus coronarius flower extract,Safe,Natural/conditioning,Generally safe
phlomis koraiensis root extract,Safe,Natural/conditioning,Generally safe
phlomis lychnitis extract,Safe,Natural/conditioning,Generally safe
phloretin,Safe,General,No known major side effects
phloridzin,Safe,General,No known major side effects
phloridzinyl glucoside,Safe,General,No known major side effects
phloroglucinol,Safe,General,No known major side effects
phlox drummondii seed extract,Safe,Natural/conditioning,Generally safe
phoenix canariensis leaf extract,Safe,Natural/conditioning,Generally safe
phoenix dactylifera fruit extract,Safe,Natural/conditioning,Generally safe
phoenix dactylifera fruit juice,Safe,General,No known major side effects
phoenix dactylifera fruit powder,Safe,General,No known major side effects
phoenix dactylifera leaf cell extract,Safe,Natural/conditioning,Generally safe
phoenix dactylifera seed extract,Safe,Natural/conditioning,Generally safe
pholiota microspora fruiting body extract,Safe,Natural/conditioning,Generally safe
pholiota microspora polysaccharides,Safe,General,No known major side effects
phonolite,Safe,General,No known major side effects
phormidium elemis lysate filtrate,Safe,General,No known major side effects
phormidium ferment,Safe,General,No known major side effects
phormidium uncinatum extract,Safe,Natural/conditioning,Generally safe
phormium tenax extract,Safe,Natural/conditioning,Generally safe
phormium tenax flower extract,Safe,Natural/conditioning,Generally safe
phormium tenax leaf,Safe,General,No known major side effects
phormium tenax leaf extract,Safe,Natural/conditioning,Generally safe
phormium tenax leaf juice,Safe,General,No known major side effects
phormium tenax leaf powder,Safe,General,No known major side effects
phormium tenax leaf water,Safe,General,No known major side effects
phormium tenax root extract,Safe,Natural/conditioning,Generally safe
phormium tenax seed,Safe,General,No known major side effects
phormium tenax seed extract,Safe,Natural/conditioning,Generally safe
phosphate buffered saline,Safe,General,No known major side effects
phosphatidic acid,Moderate,Solvent/active,Possible irritation or dryness
phosphatidylinositol,Safe,General,No known major side effects
phosphatidylserine,Safe,General,No known major side effects
phosphonobutanetricarboxylic acid,Moderate,Solvent/active,Possible irritation or dryness
phosphorothioate dna-1,Safe,General,No known major side effects
phosphorus pentoxide,Safe,General,No known major side effects
phosphorylcholine glycol methacrylate/peg-10 dimethacrylate crosspolymer,Moderate,Solvent/active,Possible irritation or dryness
phragmites australis rhizome extract,Safe,Natural/conditioning,Generally safe
phragmites communis rhizome extract,Safe,Natural/conditioning,Generally safe
phragmites communis root extract,Safe,Natural/conditioning,Generally safe
phragmites communis sprout extract,Safe,Natural/conditioning,Generally safe
phragmites karka extract,Safe,Natural/conditioning,Generally safe
phryma leptostachya extract,Safe,Natural/conditioning,Generally safe
p-hydroxyanisole,Safe,General,No known major side effects
phyllacantha fibrosa extract,Safe,Natural/conditioning,Generally safe
phyllanthus acidus fruit extract,Moderate,Solvent/active,Possible irritation or dryness
phyllanthus emblica extract,Safe,Natural/conditioning,Generally safe
phyllanthus emblica fruit extract,Safe,Natural/conditioning,Generally safe
phyllanthus emblica fruit juice,Safe,General,No known major side effects
phyllanthus emblica fruit powder,Safe,General,No known major side effects
phyllanthus niruri extract,Safe,Natural/conditioning,Generally safe
phyllanthus urinaria extract,Safe,Natural/conditioning,Generally safe
phyllospadix iwatensis extract,Safe,Natural/conditioning,Generally safe
phyllospadix scouleri extract,Safe,Natural/conditioning,Generally safe
phyllostachys aureosulcata leaf extract,Safe,Natural/conditioning,Generally safe
phyllostachys bambusoides bark extract,Safe,Natural/conditioning,Generally safe
phyllostachys bambusoides juice,Safe,General,No known major side effects
phyllostachys bambusoides leaf extract,Safe,Natural/conditioning,Generally safe
phyllostachys bambusoides rhizome extract,Safe,Natural/conditioning,Generally safe
phyllostachys bambusoides stem juice,Safe,General,No known major side effects
phyllostachys edulis extract,Safe,Natural/conditioning,Generally safe
phyllostachys edulis leaf/shoot extract,Safe,Natural/conditioning,Generally safe
phyllostachys edulis leaf extract,Safe,Natural/conditioning,Generally safe
phyllostachys edulis shoot water,Safe,General,No known major side effects
phyllostachys edulis stem extract,Safe,Natural/conditioning,Generally safe
phyllostachys edulis stem powder,Safe,General,No known major side effects
phyllostachys heterocycla ferment filtrate,Safe,General,No known major side effects
phyllostachys heterocycla frass extract,Safe,Natural/conditioning,Generally safe
phyllostachys heterocycla stem extract,Safe,Natural/conditioning,Generally safe
phyllostachys nigra extract,Safe,Natural/conditioning,Generally safe
phyllostachys nigra juice,Safe,General,No known major side effects
phyllostachys nigra leaf extract,Safe,Natural/conditioning,Generally safe
phyllostachys nigra stem extract,Safe,Natural/conditioning,Generally safe
phyllostachys pubescens/edulis shoot sheath extract,Safe,Natural/conditioning,Generally safe
phyllostachys pubescens extract,Safe,Natural/conditioning,Generally safe
phyllostachys pubescens meristem cell lysate,Safe,General,No known major side effects
phyllostachys pubescens sap,Safe,General,No known major side effects
phyllostachys pubescens shoot bark extract,Safe,Natural/conditioning,Generally safe
phyllostachys reticulata extract,Safe,Natural/conditioning,Generally safe
phymatolithon calcareum extract,Safe,Natural/conditioning,Generally safe
phymatosorus grossus leaf extract,Safe,Natural/conditioning,Generally safe
physalis alkekengi calyx extract,Safe,Natural/conditioning,Generally safe
physalis peruviana calyx extract,Safe,Natural/conditioning,Generally safe
physalis peruviana extract,Safe,Natural/conditioning,Generally safe
physalis peruviana fruit extract,Safe,Natural/conditioning,Generally safe
physalis pruinosa fruit extract,Safe,Natural/conditioning,Generally safe
physalis pubescens fruit extract,Safe,Natural/conditioning,Generally safe
physalis pubescens fruit juice,Safe,General,No known major side effects
physcomitrella patens protonema extract,Safe,Natural/conditioning,Generally safe
physocarpus amurensis stem extract,Safe,Natural/conditioning,Generally safe
physostegia virginiana leaf/stem extract,Safe,Natural/conditioning,Generally safe
phytin,Safe,General,No known major side effects
phytoecdysteroids,Safe,General,No known major side effects
phytoglobin,Safe,General,No known major side effects
phytol,Safe,General,No known major side effects
